Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Min Temp,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2021-04-18 09:48:17,Germantown Cycling,22.05,907,01:31:00,127,144,14.5,29.7,630,614,0.0,51.8,0.0,01:29:53,01:36:14,260,450
Running,2021-04-17 12:21:29,Memphis Running,4.00,660,00:56:30,139,156,14:07,6:49,19,24,0.8,0.0,0.0,00:51:27,00:56:30,240,266
Cycling,2021-04-15 16:55:47,Germantown Cycling,14.04,675,00:55:51,136,161,15.1,30.6,387,413,0.0,59.0,0.0,00:54:54,01:02:27,240,344
Cycling,2021-04-13 16:34:39,Germantown Cycling,27.17,"1,322",01:43:29,140,170,15.8,34.9,719,748,0.0,64.4,0.0,01:41:56,01:52:21,180,289
Cycling,2021-04-12 16:51:32,Germantown Cycling,27.08,"1,314",01:41:19,146,162,16.0,32.1,663,673,0.0,64.4,0.0,01:40:22,01:46:48,269,402
Cycling,2021-04-10 09:34:15,Germantown Cycling,56.79,"2,733",03:42:16,144,166,15.3,33.4,"2,001","2,057",0.0,57.2,0.0,03:40:48,04:15:20,255,457
Cycling,2021-04-08 16:38:18,Germantown Cycling,15.88,784,01:05:05,137,160,14.6,29.4,433,456,0.0,64.4,0.0,01:03:39,01:11:41,157,258
Cycling,2021-04-07 11:53:14,Germantown Cycling,23.34,"1,170",01:28:12,145,160,15.9,34.2,640,627,0.0,64.4,0.0,01:27:44,01:30:20,264,379
Cycling,2021-04-06 16:54:33,Germantown Cycling,28.46,"1,428",01:49:14,150,167,15.6,34.9,732,794,0.0,66.2,0.0,01:47:53,01:56:29,224,327
Cycling,2021-04-03 08:45:46,Germantown Cycling,50.79,"2,576",03:19:04,146,164,15.3,33.5,"1,818","1,814",0.0,46.4,0.0,03:16:47,03:46:33,250,817
Cycling,2021-04-01 16:32:01,Germantown Cycling,25.09,"1,165",01:37:30,141,162,15.4,29.6,650,666,0.0,42.8,0.0,01:36:29,01:57:30,215,361
Cycling,2021-03-31 17:07:58,Germantown Cycling,26.52,"1,310",01:39:56,146,169,15.9,30.2,627,663,0.0,48.2,0.0,01:39:13,01:45:58,287,427
Cycling,2021-03-29 16:52:14,Germantown Cycling,23.28,"1,093",01:29:20,142,165,15.6,29.6,525,518,0.0,62.6,0.0,01:28:23,01:33:26,236,337
Cycling,2021-03-28 10:34:08,Germantown Cycling,39.03,"1,954",02:28:09,149,165,15.8,31.1,"1,234","1,293",0.0,55.4,0.0,02:26:51,02:35:05,272,470
Cycling,2021-03-22 16:30:21,Germantown Cycling,28.05,"1,473",01:46:49,149,170,15.8,35.0,712,735,0.0,62.6,0.0,01:45:45,01:54:33,227,343
Cycling,2021-03-20 09:40:52,Germantown Cycling,43.43,"2,512",02:55:20,148,166,14.9,31.2,"1,276","1,273",0.0,44.6,0.0,02:54:16,03:22:28,240,448
Cycling,2021-03-11 16:32:56,Germantown Cycling,22.02,997,01:25:52,135,151,15.4,30.8,482,512,0.0,66.2,0.0,01:25:12,01:33:53,314,426
Cycling,2021-03-10 16:12:30,Germantown Cycling,28.14,"1,380",01:46:29,144,162,15.9,36.8,705,728,0.0,64.4,0.0,01:45:21,01:55:00,238,337
Cycling,2021-03-09 16:44:18,Germantown Cycling,23.25,"1,274",01:26:43,153,174,16.1,33.2,518,535,0.0,59.0,0.0,01:25:52,01:33:06,268,374
Cycling,2021-03-06 09:47:50,Germantown Cycling,51.19,"2,471",03:21:38,141,157,15.2,35.8,"1,759","1,759",0.0,48.2,0.0,03:19:25,03:43:15,277,620
Cycling,2021-03-04 15:49:39,Germantown Cycling,28.05,"1,458",01:43:55,150,166,16.2,35.0,679,699,0.0,60.8,0.0,01:42:34,01:58:37,274,377
Cycling,2021-03-03 16:08:38,Germantown Cycling,26.60,"1,486",01:37:37,156,173,16.3,33.2,630,656,0.0,51.8,0.0,01:36:43,01:46:34,357,528
Cycling,2021-02-28 10:00:30,Trainer-Tabatas,0.07,595,00:46:21,138,165,0.1,1.4,--,--,0.0,69.8,0.0,00:00:00,00:47:03,321,358
Cycling,2021-02-27 10:00:58,Trainer-Intervals(3x20),0.14,"1,071",01:20:27,141,155,0.1,1.4,3,--,0.0,66.2,0.0,00:01:31,01:21:28,296,321
Cycling,2021-02-25 16:36:36,Germantown Cycling,22.04,"1,058",01:23:08,140,162,15.9,28.6,518,545,0.0,46.4,0.0,01:21:49,01:27:12,182,291
Cycling,2021-02-24 11:23:33,Germantown Cycling,26.83,"1,430",01:41:28,151,170,15.9,29.3,751,741,0.0,60.8,0.0,01:40:14,01:48:57,307,571
Cycling,2021-02-21 10:03:16,Trainer-Intervals(8x4-1min kicker-power),0.09,727,00:57:01,139,166,0.1,1.0,--,--,0.0,62.6,0.0,00:00:00,00:58:32,281,301
Cycling,2021-02-20 10:38:34,Trainer-Intervals(3x20),0.16,"1,000",01:21:16,136,153,0.1,1.2,--,--,0.0,64.4,0.0,00:01:51,01:23:00,300,328
Cycling,2021-02-17 16:53:53,Trainer-45minTT,0.06,835,01:01:20,142,154,0.1,--,--,--,0.0,66.2,0.0,00:00:00,01:01:20,260,282
Cycling,2021-02-16 17:31:35,Trainer-Intervals(5x8),0.10,842,00:58:52,147,160,0.1,1.3,--,--,0.0,64.4,0.0,00:00:00,01:00:26,251,277
Cycling,2021-02-14 10:12:06,Trainer-Intervals(3x8),0.08,536,00:40:25,136,148,0.1,1.1,--,--,0.0,60.8,0.0,00:00:00,00:41:26,260,285
Cycling,2021-02-13 10:29:03,Trainer-Intervals(3x20),0.13,"1,126",01:20:19,147,163,0.1,1.1,--,--,0.0,62.6,0.0,00:00:04,01:22:25,274,298
Cycling,2021-02-09 17:35:04,Trainer-Tabatas,0.05,611,00:44:07,145,176,0.1,--,--,--,0.0,68.0,0.0,00:00:00,00:44:07,268,287
Cycling,2021-02-07 10:58:25,Trainer-Intervals(5x8-power),0.08,822,01:02:16,142,159,0.1,1.2,--,--,0.0,64.4,0.0,00:00:00,01:04:50,291,317
Cycling,2021-02-06 08:52:44,Memphis Cycling,41.60,"2,181",02:42:06,142,161,15.4,30.3,"1,158","1,171",0.0,33.8,0.0,02:40:10,03:17:50,240,448
Cycling,2021-02-04 17:22:22,Trainer-Intervals(4x8-easy spin),0.08,606,00:47:01,136,151,0.1,1.6,--,--,0.0,66.2,0.0,00:00:26,00:47:01,227,270
Cycling,2021-01-31 09:58:29,Germantown Cycling,34.84,"1,478",02:13:26,137,156,15.7,29.1,925,"1,017",0.0,41.0,0.0,02:10:18,02:23:56,212,371
Cycling,2021-01-30 09:20:16,Germantown Cycling,30.74,"1,531",01:57:22,145,164,15.7,34.3,978,928,0.0,46.4,0.0,01:55:46,02:20:43,295,486
Cycling,2021-01-28 17:45:53,Trainer-40minTT(Zone3),0.06,772,00:55:35,142,151,0.1,1.3,--,--,0.0,62.6,0.0,00:00:00,00:57:29,312,442
Cycling,2021-01-27 17:49:20,Trainer-Intervals(8x4-1min kicker),0.06,713,00:54:42,138,155,0.1,1.1,--,--,0.0,75.2,0.0,00:00:00,00:54:42,290,419
Cycling,2021-01-26 17:48:48,Trainer-Intervals(5x8),0.05,855,00:59:28,147,158,0.1,1.1,--,--,0.0,66.2,0.0,00:00:00,00:59:28,251,268
Cycling,2021-01-23 09:55:51,Germantown Cycling,51.08,"2,586",03:18:58,145,163,15.4,35.8,"1,739","1,713",0.0,37.4,0.0,03:15:53,03:45:23,290,547
Cycling,2021-01-21 17:22:22,Trainer-35minTT(Zone2.5),0.04,662,00:48:03,144,154,0.0,1.1,--,--,0.0,64.4,0.0,00:00:00,00:48:03,277,291
Cycling,2021-01-20 17:18:26,Trainer-Tabatas,0.04,580,00:44:41,141,170,0.1,1.0,--,--,0.0,64.4,0.0,00:00:00,00:47:19,317,350
Cycling,2021-01-19 17:22:46,Trainer-Intervals(4x8),0.04,638,00:50:13,139,149,0.1,1.2,--,--,0.0,62.6,0.0,00:00:00,00:50:13,296,544
Cycling,2021-01-17 10:19:56,Germantown Cycling,42.21,"1,984",02:38:12,144,163,16.0,31.5,"1,273","1,273",0.0,42.8,0.0,02:37:02,03:07:10,247,500
Cycling,2021-01-16 10:21:42,Trainer-Intervals(3x20),0.08,826,01:08:51,141,154,0.1,1.3,--,--,0.0,66.2,0.0,00:00:00,01:14:19,302,330
Cycling,2021-01-14 11:53:38,Germantown Cycling,22.44,"1,017",01:26:11,146,181,15.6,36.4,499,525,0.0,50.0,0.0,01:24:43,01:34:10,346,459
Cycling,2021-01-13 17:10:00,Trainer-Intervals(8x3-Power),0.06,571,00:49:14,137,154,0.1,1.4,--,--,0.0,66.2,0.0,00:00:00,00:49:14,286,301
Cycling,2021-01-12 17:17:07,Trainer-45minTT,0.07,735,00:58:11,145,157,0.1,1.3,--,--,0.0,64.4,0.0,00:00:00,00:58:11,274,280
Cycling,2021-01-10 10:35:36,Trainer-Intervals(8x4-hills),0.08,672,01:01:16,138,160,0.1,1.1,--,--,0.0,64.4,0.0,00:00:13,01:01:16,331,369
Cycling,2021-01-09 10:03:00,Trainer-Intervals(3x20),0.12,975,01:21:07,144,162,0.1,1.3,--,--,0.0,62.6,0.0,00:00:00,01:22:03,306,644
Cycling,2021-01-07 17:33:11,Trainer-Intervals(4.5x8),0.09,684,00:55:19,143,154,0.1,1.0,--,--,0.0,64.4,0.0,00:00:00,00:55:19,293,306
Cycling,2021-01-06 17:29:19,Trainer-Intervals(5x8),0.03,756,00:59:26,146,167,0.0,1.0,--,--,0.0,68.0,0.0,00:00:00,00:59:27,241,266
Cycling,2021-01-03 10:41:04,Memphis Cycling,38.09,"2,242",02:29:15,--,--,15.3,26.7,942,915,0.0,37.4,0.0,02:26:41,03:04:55,241,478
Cycling,2021-01-02 10:50:02,Trainer-Intervals(3x20),0.12,--,01:18:16,--,--,0.1,1.1,--,--,0.0,62.6,0.0,00:00:00,01:19:53,323,381
Cycling,2020-12-31 17:06:08,Trainer-Tabatas,0.03,--,00:41:33,--,--,0.0,--,--,--,0.0,62.6,0.0,00:00:00,00:48:00,255,270
Cycling,2020-12-30 17:33:07,Trainer-Intervals(8x4-1 min kicker),0.04,--,00:53:28,--,--,0.0,--,--,--,0.0,64.4,0.0,00:00:00,00:53:28,308,325
Cycling,2020-12-29 17:17:44,Trainer-Intervals(5x8),0.02,--,00:57:42,--,--,0.0,1.1,--,--,0.0,64.4,0.0,00:00:00,00:57:42,285,300
Cycling,2020-12-27 10:14:27,Germantown Cycling,36.78,"2,251",02:19:12,--,--,15.9,31.9,"1,102","1,040",0.0,48.2,0.0,02:18:19,02:23:00,240,447
Cycling,2020-12-26 11:26:10,Trainer-Intervals(3x20),0.05,--,01:17:32,--,--,0.0,1.0,--,--,0.0,62.6,0.0,00:00:00,01:17:32,344,387
Cycling,2020-12-22 11:57:46,Germantown Cycling,25.53,"1,568",01:33:06,--,--,16.5,25.9,505,522,0.0,55.4,0.0,01:32:00,01:39:31,241,401
Cycling,2020-12-21 11:48:00,Germantown Cycling,26.89,"1,699",01:38:23,--,--,16.4,29.0,741,771,0.0,55.4,0.0,01:38:03,01:39:43,314,478
Cycling,2020-12-19 09:30:04,Trainer-Intervals(5x8),0.04,--,01:00:24,--,--,0.0,1.1,--,--,0.0,73.4,0.0,00:00:00,01:00:24,297,311
Cycling,2020-12-17 17:03:50,Trainer-Intervals(5x8),0.03,--,00:58:46,--,--,0.0,1.0,--,--,0.0,69.8,0.0,00:00:00,00:58:47,267,343
Cycling,2020-12-15 17:29:38,Trainer-Intervals(8x4),0.03,--,00:53:43,--,--,0.0,--,--,--,0.0,62.6,0.0,00:00:00,00:53:43,327,364
Cycling,2020-12-12 10:09:15,Germantown Cycling,29.06,"1,812",01:47:53,--,--,16.2,29.5,745,768,0.0,51.8,0.0,01:46:50,02:00:58,308,587
Cycling,2020-12-10 11:42:26,Germantown Cycling,26.87,"1,667",01:40:42,--,--,16.0,27.3,758,745,0.0,60.8,0.0,01:39:20,01:44:53,247,412
Cycling,2020-12-08 17:31:32,Trainer-Intervals(8x4),0.02,--,00:54:24,--,--,0.0,1.4,--,--,0.0,66.2,0.0,00:00:00,00:54:24,303,306
Cycling,2020-12-06 10:11:47,Germantown Cycling,28.28,"1,746",01:46:51,--,--,15.9,30.4,797,797,0.0,46.4,0.0,01:45:55,01:53:03,180,357
Cycling,2020-12-05 10:36:51,Memphis Cycling,34.40,"2,063",02:20:24,--,--,14.7,30.8,"1,033",958,0.0,46.4,0.0,02:13:14,03:08:57,257,622
Cycling,2020-12-03 17:27:44,Trainer-Intervals(4x8),0.04,--,00:50:34,--,--,0.0,1.3,--,--,0.0,68.0,0.0,00:00:00,00:50:34,269,295
Cycling,2020-12-01 17:26:38,Trainer-Tabatas,0.02,637,00:41:09,152,179,0.0,--,--,--,0.0,66.2,0.0,00:00:00,00:41:09,247,268
Cycling,2020-11-29 17:07:33,Trainer-Intervals(8x4),0.03,787,00:54:33,148,171,0.0,1.0,--,--,0.0,64.4,0.0,00:00:00,00:54:33,290,302
Cycling,2020-11-28 09:18:24,Germantown Cycling,35.09,"1,818",02:12:54,140,160,15.8,32.4,948,951,0.0,44.6,0.0,02:11:37,02:43:26,253,479
Cycling,2020-11-26 09:42:13,Thanksgiving Ride,29.07,"1,438",01:47:06,146,163,16.3,31.3,787,751,0.0,44.6,0.0,01:46:31,01:48:12,282,447
Cycling,2020-11-24 11:32:23,Germantown Cycling,26.86,"1,364",01:40:24,146,164,16.1,30.1,794,755,0.0,55.4,0.0,01:40:02,01:43:55,423,601
Cycling,2020-11-21 08:56:19,Germantown Cycling,48.81,"2,454",02:52:35,148,178,17.0,29.4,"1,063","1,099",0.0,57.2,0.0,02:48:30,03:25:45,308,913
Cycling,2020-11-18 17:12:43,Trainer-Intervals(4x8),0.04,747,00:51:04,148,161,0.0,1.2,--,--,0.0,66.2,0.0,00:00:24,00:51:04,266,283
Cycling,2020-11-17 17:16:20,Trainer-Intervals(8x4),0.04,699,00:49:28,145,184,0.0,--,--,--,0.0,62.6,0.0,00:00:00,00:50:09,708,719
Cycling,2020-11-15 09:44:23,Germantown Cycling,28.28,"1,094",01:46:54,132,149,15.9,30.5,781,823,0.0,53.6,0.0,01:46:32,01:53:49,610,766
