Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2021-07-13 18:05:52,false,"Memphis Cycling","27.21","1,339","01:54:53","152","185","14.2","29.9","541","574","0.00","0.0","0.0","0.0","0.0","0.0","0:00","71.6","0:00","No","01:54:53.11","1","0.0","01:53:08","01:57:08","236","312"
Cycling,2021-06-26 07:35:56,false,"Memphis Cycling","42.06","1,791","02:46:02","141","166","15.2","32.0","1,053","1,125","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","02:46:01.88","1","0.0","02:45:31","03:21:27","240","440"
Cycling,2021-06-24 18:10:34,false,"Memphis Cycling","3.97","197","00:15:21","147","169","15.5","21.7","66","33","0.00","0.0","0.0","0.0","0.0","0.0","0:00","71.6","0:00","No","15:21.17","1","0.0","00:15:08","00:15:21","247","302"
Cycling,2021-06-22 17:50:00,false,"Germantown Cycling","25.24","1,101","01:35:22","151","175","15.9","30.6","673","735","0.00","0.0","0.0","0.0","0.0","0.0","0:00","68.0","0:00","No","01:35:22.50","1","0.0","01:33:33","01:38:55","306","437"
Cycling,2021-06-15 17:52:08,false,"Memphis Cycling","32.08","1,319","02:07:33","147","171","15.1","31.4","791","794","0.00","0.0","0.0","0.0","0.0","0.0","0:00","71.6","0:00","No","02:07:32.62","1","0.0","02:07:01","02:12:46","245","456"
Cycling,2021-06-13 10:08:17,false,"Shelby County Cycling","19.28","951","01:21:27","147","176","14.2","33.2","719","741","0.00","0.0","0.0","0.0","0.0","0.0","0:00","78.8","0:00","No","01:21:26.64","1","0.0","01:20:41","01:24:40","276","443"
Cycling,2021-06-12 09:23:43,false,"Memphis Cycling","38.21","2,027","02:37:06","152","173","14.6","29.2","794","830","0.00","0.0","0.0","0.0","0.0","0.0","0:00","66.2","0:00","No","02:37:06.18","1","0.0","02:34:39","03:18:00","237","418"
Cycling,2021-05-29 09:14:22,false,"Germantown Cycling","57.40","2,142","03:41:37","139","158","15.5","35.9","1,985","2,054","0.00","0.0","0.0","0.0","0.0","0.0","0:00","50.0","0:00","No","03:41:36.91","1","0.0","03:38:13","04:09:21","269","726"
Cycling,2021-05-27 17:03:25,false,"Germantown Cycling","16.01","745","01:04:42","138","154","14.8","30.5","318","328","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","01:04:42.26","1","0.0","01:03:00","01:26:42","295","428"
Cycling,2021-05-25 18:03:52,false,"Germantown Cycling","31.33","1,406","01:53:38","146","184","16.5","30.4","646","666","0.00","0.0","0.0","0.0","0.0","0.0","0:00","73.4","0:00","No","01:53:38.22","1","0.0","01:51:01","02:04:08","331","439"
Cycling,2021-05-22 09:00:39,false,"Germantown Cycling","52.65","2,391","03:32:17","146","166","14.9","34.0","1,768","1,824","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","03:32:16.98","1","0.0","03:28:03","03:48:39","274","469"
Cycling,2021-05-20 16:26:43,false,"Germantown Cycling","28.44","1,410","01:51:20","151","168","15.3","35.1","778","781","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","01:51:20.44","1","0.0","01:49:37","01:56:26","261","365"
Cycling,2021-05-15 07:40:26,false,"Germantown Cycling","69.69","3,014","04:12:41","148","175","16.5","35.2","2,572","2,552","0.00","0.0","0.0","0.0","0.0","0.0","0:00","51.8","0:00","No","04:12:41.11","1","0.0","04:05:36","05:26:17","262","510"
